
Image Name                     PID Session Name        Session#    Mem Usage
sihost.exe                   15804 Console                    4     35,868 K
svchost.exe                   9516 Console                    4     31,464 K
svchost.exe                  16776 Console                    4      8,896 K
svchost.exe                   8864 Console                    4     35,692 K
igfxEM.exe                   17628 Console                    4     23,460 K
taskhostw.exe                11712 Console                    4     20,132 K
explorer.exe                 10560 Console                    4    399,644 K
svchost.exe                  14640 Console                    4     22,744 K
SearchHost.exe                 880 Console                    4    117,448 K
StartMenuExperienceHost.e    13652 Console                    4     89,692 K
RuntimeBroker.exe            12460 Console                    4     45,676 K
Widgets.exe                   7512 Console                    4     40,620 K
RuntimeBroker.exe            12348 Console                    4     25,364 K
svchost.exe                  15920 Console                    4      9,912 K
dllhost.exe                   6176 Console                    4     12,956 K
ctfmon.exe                   18852 Console                    4     36,976 K
svchost.exe                  10624 Console                    4     16,760 K
backgroundTaskHost.exe       10452 Console                    4      2,272 K
TextInputHost.exe            18736 Console                    4    101,088 K
PhoneExperienceHost.exe       6968 Console                    4    115,428 K
WidgetService.exe             3232 Console                    4     22,312 K
RuntimeBroker.exe             9072 Console                    4     13,312 K
SecurityHealthSystray.exe    18408 Console                    4     10,132 K
CocCocCrashHandler.exe        5204 Console                    4      1,744 K
CocCocCrashHandler64.exe     13460 Console                    4        412 K
AdobeCollabSync.exe           1520 Console                    4     12,744 K
AdobeCollabSync.exe           1768 Console                    4     20,600 K
RtkAudUService64.exe          9696 Console                    4      5,116 K
chrome.exe                   18524 Console                    4    207,076 K
chrome.exe                    4104 Console                    4      7,832 K
chrome.exe                    8724 Console                    4    119,104 K
chrome.exe                   18188 Console                    4     47,316 K
chrome.exe                   16316 Console                    4     19,952 K
acrotray.exe                  8320 Console                    4      9,664 K
AsusOSD.exe                  16408 Console                    4     15,744 K
svchost.exe                  14744 Console                    4     19,276 K
AcrobatNotificationClient     3256 Console                    4      3,104 K
RuntimeBroker.exe             6196 Console                    4      7,232 K
ApplicationFrameHost.exe     17732 Console                    4     36,196 K
svchost.exe                  15420 Console                    4      9,676 K
ShellExperienceHost.exe      11660 Console                    4     74,424 K
RuntimeBroker.exe             9016 Console                    4     30,880 K
SystemSettingsBroker.exe     14772 Console                    4     31,124 K
AsusSoftwareManagerAgent.     4776 Console                    4     39,476 K
svchost.exe                   4624 Services                   0     13,104 K
svchost.exe                  17952 Services                   0      6,812 K
Zalo.exe                      7316 Console                    4     88,228 K
Zalo.exe                      8216 Console                    4     58,136 K
Zalo.exe                     19148 Console                    4     43,728 K
Zalo.exe                     17696 Console                    4     68,900 K
ZaloCap.exe                  14268 Console                    4     18,880 K
Zalo.exe                      3668 Console                    4     52,376 K
Zalo.exe                      5372 Console                    4    160,300 K
ZaviMeet.exe                  1276 Console                    4     34,836 K
ZaloCall.exe                 15752 Console                    4     32,204 K
WINWORD.EXE                   6728 Console                    4    365,868 K
ai.exe                        8908 Console                    4     17,800 K
ai.exe                       14436 Console                    4     16,464 K
dllhost.exe                   4524 Console                    4     22,948 K
svchost.exe                  15832 Console                    4     12,212 K
idea64.exe                   11368 Console                    4  2,046,600 K
fsnotifier.exe               16932 Console                    4      2,816 K
conhost.exe                  10984 Console                    4      5,776 K
java.exe                     13516 Console                    4     92,868 K
conhost.exe                  16364 Console                    4      5,636 K
msedgewebview2.exe           10796 Console                    4     83,692 K
msedgewebview2.exe           16420 Console                    4      6,888 K
msedgewebview2.exe           11316 Console                    4     44,816 K
msedgewebview2.exe            4128 Console                    4     26,716 K
msedgewebview2.exe            4696 Console                    4     15,924 K
msedgewebview2.exe           16100 Console                    4     38,344 K
chrome.exe                   17056 Console                    4    175,264 K
chrome.exe                    4496 Console                    4     18,644 K
chrome.exe                   19076 Console                    4     51,644 K
chrome.exe                    7680 Console                    4    197,780 K
Canva.exe                    16744 Console                    4    123,324 K
Canva.exe                     8868 Console                    4     38,276 K
Canva.exe                    14800 Console                    4    118,396 K
Canva.exe                     5084 Console                    4     49,020 K
Canva.exe                    17720 Console                    4     40,416 K
Canva.exe                     8356 Console                    4     85,056 K
Canva.exe                     8200 Console                    4     58,412 K
Canva.exe                    15356 Console                    4     93,068 K
Canva.exe                    10516 Console                    4    185,468 K
Canva.exe                     8500 Console                    4     74,024 K
Canva.exe                     7752 Console                    4    158,540 K
dllhost.exe                  11420 Console                    4      9,652 K
msedge.exe                    8760 Console                    4    215,524 K
msedge.exe                    5828 Console                    4      8,888 K
msedge.exe                    8652 Console                    4     80,496 K
msedge.exe                   12864 Console                    4     42,120 K
msedge.exe                   19212 Console                    4     19,908 K
msedge.exe                   17484 Console                    4    105,036 K
msedge.exe                    7248 Console                    4     29,528 K
chrome.exe                    3148 Console                    4     28,824 K
java.exe                      8476 Console                    4     94,472 K
conhost.exe                  13008 Console                    4     10,844 K
java.exe                     18880 Console                    4    309,816 K
conhost.exe                   4632 Console                    4     10,852 K
java.exe                      5868 Console                    4    179,204 K
conhost.exe                  18404 Console                    4     10,844 K
java.exe                      1512 Console                    4     94,840 K
conhost.exe                  13280 Console                    4     10,860 K
java.exe                      1324 Console                    4    163,444 K
conhost.exe                   9144 Console                    4     10,860 K
SystemSettings.exe           13952 Console                    4    106,148 K
MoUsoCoreWorker.exe          10272 Services                   0     22,708 K
UserOOBEBroker.exe           13540 Console                    4     10,044 K
svchost.exe                  18544 Services                   0      7,984 K
chrome.exe                    3376 Console                    4     62,756 K
RuntimeBroker.exe             2688 Console                    4     18,948 K
chrome.exe                   16724 Console                    4     51,816 K
tasklist.exe                 15500 Console                    4      9,860 K
conhost.exe                   6740 Console                    4     10,804 K
WmiPrvSE.exe                   132 Services                   0     10,608 K
